FundingModel,AdmissionRate,ACTMedian,SATAverage,AverageCost,MedianEarnings
Public,0.4773,22,1039,19131,37800
Private,0.4987,23,1096,28305,33800
Private,0.5875,23,1060,25690,31200
Private,0.1336,19,884,21358,51800
Private,0.6045,26,1153,52490,50500
Public,0.4304,26,1154,18426,40500
Private,0.4989,25,1102,38413,35900
Public,0.5681,27,1212,20774,40000
Public,0.4655,29,1272,20456,46600
Private,0.4737,22,1010,42459,42100
Private,0.4044,30,1332,57700,51100
Public,0.5343,25,1143,19415,38400
Private,0.5102,20,932,33485,40800
Private,0.5746,24,1084,40783,42300
Private,0.8412,23,1061,37535,36000
Private,0.5889,27,1199,56309,40600
Public,0.4524,26,1168,19299,37900
Private,0.4567,19,904,37090,41600
Private,0.5925,26,1168,49939,36500
Private,0.5932,20,955,30333,28300
Private,0.5221,24,1075,37714,40200
Private,0.4847,19,863,16752,26400
Private,0.3378,19,908,28555,37000
Private,0.6377,21,922,34949,31100
Public,0.4808,24,1062,18158,33400
Public,0.709,19,897,14080,29200
Public,0.1992,19,887,19025,27900
Private,0.4013,17,825,26050,24500
Public,0.6998,21,997,19802,36300
Private,0.5353,20,946,27497,27800
Private,0.568,19,880,34201,29800
Private,0.6032,27,1186,40965,34600
Private,0.7829,20,957,34107,38100
Private,0.5137,19,896,22499,29300
Public,0.8221,20,940,15501,26300
Public,0.477,20,939,17487,34900
Public,0.5543,21,984,17029,30700
Private,0.5704,26,1173,38510,37200
Private,0.2633,31,1363,58180,56900
Public,0.5493,30,1352,21980,65700
Public,0.6803,20,950,17839,31500
Public,0.6798,24,1126,23052,36300
Public,0.52,23,1094,21513,36600
Public,0.5466,23,1060,23124,37500
Public,0.5608,28,1247,21162,42500
Public,0.4529,17,840,13091,28300
Public,0.5654,23,1068,20630,37200
Private,0.5837,21,995,37305,38000
Private,0.69,26,1171,46382,43900
Private,0.6684,21,990,45451,36200
Private,0.5576,25,1131,43689,37600
Private,0.4377,16,778,21516,21800
Private,0.6118,22,1001,32031,37000
Private,0.514,22,1013,30734,33600
Private,0.6547,24,1078,49179,29700
Public,0.8299,18,847,15531,26800
Private,0.6807,21,954,30642,43000
Private,0.3802,22,1024,41635,40600
Public,0.7798,24,1123,16546,48900
Private,0.494,20,1000,30178,24600
Private,0.8064,20,939,26484,27800
Public,0.5522,22,1033,20958,34300
Private,0.4339,20,982,30878,32000
Public,0.5385,20,950,18879,32800
Private,0.5365,21,980,34007,31200
Private,0.8359,21,972,30801,37600
Public,0.752,21,967,15284,30400
Public,0.8009,24,1087,18491,38500
Private,0.6411,22,1005,29762,42100
Public,0.7643,19,891,9874,37400
Private,1,20,977,23036,23500
Public,0.7766,23,1050,18227,33000
Public,0.6565,23,1070,19700,35800
Private,0.905,24,1070,34555,34900
Public,0.9977,20,936,16184,29700
Private,0.617,25,1079,34498,32300
Private,0.9963,23,1036,10438,33800
Private,0.7184,23,1065,55551,28800
Private,0.7595,22,1011,31145,36600
Private,0.6799,22,1034,24126,32600
Private,0.6694,26,1163,40330,45000
Public,0.2865,19,892,18472,31200
Private,0.0881,34,1504,62425,58700
Private,0.5441,22,1030,34774,36400
Private,0.5987,26,1163,46375,44800
Public,0.6191,22,1010,23346,36000
Private,0.718,24,1084,41472,42700
Private,0.6781,23,1053,28799,28900
