FundingModel,AdmissionRate,ACTMedian,SATAverage,AverageCost,MedianEarnings
Public,0.5652,26,1158,20885,44500
Public,0.3948,28,1253,20611,48200
Public,0.5052,25,1155,22550,38200
Public,0.4754,24,1053,19843,44800
Public,0.4774,24,1069,19511,37600
Public,0.4683,23,1058,21840,40400
Public,0.5154,24,1056,20802,35700
Public,0.4566,28,1274,21004,42500
Public,0.4359,25,1129,20428,38500
Public,0.5073,24,1097,20762,37300
Public,0.4863,24,1110,21222,36400
Public,0.3319,24,1082,22381,30900
Public,0.5804,21,998,15888,39000
Public,0.4564,22,1026,20371,36600
Public,0.6396,23,1056,21493,68300
Private,0.4949,26,1158,55600,50800
Private,0.3728,30,1313,58023,54700
Private,0.8542,21,946,44394,37600
Private,0.2411,32,1394,59320,42300
Private For-Profit,0.7489,23,1020,48993,35000
Private,0.6988,25,1154,49453,50800
Private,0.5967,24,1075,48142,30100
Private,0.8216,26,1217,53825,49000
Public,0.6323,26,1156,17780,33600
Private,0.4177,20,939,37437,33800
Private,0.6759,21,977,39328,33300
Private,0.4489,20,950,35062,25500
Private,0.3107,23,998,19688,39500
Private,0.6983,22,1030,40323,41000
Private,0.6154,16,777,32188,29400
Private,0.2561,31,1353,54930,47900
Private,0.1342,32,1444,59528,69400
Public,0.6217,23,1050,19851,35900
Public,0.5715,17,849,10620,25100
Private,0.5398,25,1200,41679,43600
Public,0.5496,18,851,13188,26700
Private,0.4817,22,1018,35790,34400
Private,0.7831,18,891,37497,32400
Private,0.6818,23,1067,44255,33400
Private,0.6418,24,1087,42300,34900
Private,0.3668,17,826,30314,25100
Private,0.6806,21,976,39425,33600
Private,0.7122,15,723,25050,20900
Private,0.6447,20,941,36669,28400
Private,0.6232,23,1040,39296,34400
Private,0.6122,21,961,45011,35200
Private,0.5429,20,950,33963,34100
Private,0.4979,19,915,26161,35200
Public,0.6964,19,902,15313,29900
Public,0.6403,26,1190,17468,31600
Public,0.2759,30,1313,23069,48000
Public,0.6852,23,1066,17767,38300
Public,0.6002,23,1029,17362,33300
Public,0.5033,18,859,17873,30200
Public,0.4521,23,1105,19666,29600
Public,0.5001,28,1229,20511,44100
Private,0.4676,18,863,36686,35100
Public,0.5419,24,1154,18165,35700
Private,0.9086,19,910,37712,31700
Public,0.7204,20,926,15784,30500
Private,0.9609,20,954,34515,34900
Private,0.4884,19,878,22699,25700
Private,0.7686,24,1058,40930,38100
Private,0.4107,17,853,24257,25200
Private,0.6738,15,749,31095,23100
Private,0.582,25,1110,39859,31400
Private,0.6448,21,964,38467,31100
Private,0.696,25,1136,41000,20200
Private,0.793,22,1013,35465,37400
Public,0.5565,18,889,15990,28900
Public,0.3766,22,1034,17805,32200
Public,0.4868,21,965,13314,35400
Private,0.5689,23,1038,27712,36900
Private,0.8307,23,1046,22936,43200
Public,0.5662,22,1004,14549,34600
Public,0.737,24,1090,20538,42600
Public,0.841,24,1091,18277,41400
Public,0.829,21,967,16086,34000
Public,0.9649,22,1016,21338,31800
Private,0.2548,22,1009,32485,24000
Private,0.7438,23,1043,40835,36300
Private,1,23,1070,24311,55300
Private,0.6396,24,1096,37504,39900
Private,0.5308,22,1027,40078,34900
Public,0.7247,22,1009,22416,35500
Private,0.7604,24,1102,42600,39800
Private,0.4188,31,1377,55783,61800
Private,0.7401,27,1195,33652,36000
Public,0.3328,17,825,17380,20500
Private,0.525,22,1011,25338,47500
Private,0.6398,21,989,25900,28000
Public,0.7325,25,1141,25799,36200
Private,0.9711,20,939,33077,29400
Private,0.6825,23,1060,50146,29000
Public,0.6287,22,1030,22041,36900
Private,0.8551,22,1035,39478,27300
Private,0.5297,27,1181,46250,45900
Private,0.716,21,964,38824,35200
Private,0.4597,29,1285,54490,43100
Private,0.6832,24,1083,38941,38700
Private,0.7222,21,970,25222,48300
Private,0.5736,22,1030,42672,35300
Private,0.8334,25,1112,45714,45100
Public,0.8302,23,1048,23995,33100
Private,0.3838,30,1328,57910,37400
Private,0.8514,21,1002,19993,51200
Private,0.5561,21,983,39085,31300
Private,0.7179,23,1046,35213,36600
Private,0.6387,24,1105,42205,34000
Public,0.6676,28,1240,30858,40500
Private,0.5421,22,1030,25491,55400
Private,0.712,23,1050,37502,39100
Private,0.6349,23,1071,33321,37000
Private,0.8755,22,989,31989,37500
Private,0.7596,21,983,33630,34100
Private,0.9024,20,943,36250,39400
Private,0.3041,30,1354,59683,33200
Private,0.494,22,1028,40370,35200
Private,0.6785,26,1153,49618,57500
Public,0.5553,29,1289,24524,38900
Public,0.7295,24,1104,23605,35800
Private,0.7533,25,1123,52819,36500
Private,0.7374,24,1087,41646,37100
Private,0.7607,26,1163,32761,33100
Private,0.3856,21,969,34771,34000
Public,0.9073,22,1031,21263,37600
Private,0.5782,22,1018,35976,42400
Private,0.7713,23,1047,34994,39600
Private,0.4603,22,1006,39415,35000
Private,0.8932,24,1119,50728,37000
Private,0.5633,28,1231,51300,39900
Private,0.6997,25,1132,45080,43700
Private,0.7182,17,836,26400,28300
Private,0.4934,21,981,32241,46700
Public,0.8398,22,1030,16684,35500
Public,0.9814,21,969,13735,33100
Private,0.4331,19,899,23637,30200
Public,0.7337,21,970,13296,33000
Public,0.598,20,930,13065,33200
Private,0.6321,25,1124,29359,33200
Public,0.4767,19,890,15439,32300
Public,0.7602,25,1138,21338,39800
Private,0.5646,24,1098,31759,34100
Private,0.7198,26,1163,41431,37000
Public,0.8044,26,1176,23263,43300
Private,0.4354,23,1037,35070,32200
Public,0.5445,20,950,17213,30500
Public,0.6246,21,990,15440,29100
Public,0.7992,20,950,14050,32200
Private,0.884,20,963,22983,22800
Public,0.9026,21,990,16660,35200
Private,0.4059,29,1279,46560,41400
Private,0.5592,21,993,35963,38800
Private,0.7528,23,1070,41836,38300
Private,0.6285,29,1279,53455,37600
Private,0.9219,24,1090,45708,47900
Private,0.538,23,1104,33878,28800
Private,0.7044,21,974,34807,36100
Public,0.7135,23,1025,18801,48100
Public,0.7894,24,1102,22974,41600
Public,0.7417,25,1108,22390,38000
Private,0.8619,24,1102,47922,37200
Private,0.4853,31,1371,57701,28400
Private,0.3225,23,1067,38834,32500
Private,0.5784,27,1198,52665,41300
Private,0.6231,23,1033,46170,41700
Private,0.6487,26,1182,50044,42200
Private,0.758,24,1069,45331,43600
Private,0.7762,20,976,39999,40400
Private,0.8576,22,1016,28001,29400
Private,0.5969,25,1095,48907,38100
Public,0.8856,21,990,21732,39500
Private,0.3992,30,1334,57586,46800
Private,0.2951,30,1306,59090,54800
Private,0.7428,20,896,43541,38600
Public,0.9269,19,964,23081,35200
Private,0.9522,20,946,35640,35500
Private,0.2549,32,1432,59710,72200
Private,0.588,21,948,41240,42500
Private,0.5785,21,960,42663,39200
Private,0.6834,22,1005,44778,35800
Private,0.4444,29,1285,58149,48700
Private,0.815,27,1197,53831,58400
Private,0.7409,25,1122,42280,51600
Public,0.7844,20,946,20282,38100
Private,0.6409,21,1041,39764,37900
Public,0.8735,20,930,19886,30900
Private,0.6957,25,1117,47390,44400
Private,0.8042,23,1050,37572,43100
Private,0.6802,23,1070,34818,36300
Private,0.4163,28,1282,55770,46200
Private,0.6591,19,944,39051,48600
Private,0.2349,32,1400,59654,46000
Private,0.7585,19,933,31949,46800
Private,0.7964,20,943,45011,47000
Public,0.9049,20,973,22936,35300
Private,0.329,20,1018,23767,34400
Private,0.7205,19,901,31012,28500
Public,0.8179,20,959,23130,36600
Private,0.5565,21,931,35493,37000
Private,0.8021,22,996,47134,49400
Private,0.3414,29,1283,57688,62400
Private,0.5813,19,982,27372,28400
Private,0.6686,25,1112,46169,41000
Private,0.3084,30,1322,55441,68600
Public,0.6133,18,853,22497,30900
Public,0.8777,20,937,19145,36700
Private,0.7162,24,1047,44256,40600
Private,0.455,15,830,23119,34800
Public,0.9229,21,964,21432,34600
Private,0.7536,24,1064,42367,36100
Private,0.659,26,1154,41341,38000
Public,0.7186,22,1014,21756,39400
Private,0.6489,23,1057,38504,47000
Private,0.5632,24,982,47675,29400
Private,0.6876,20,915,30884,35200
Private,0.4616,28,1246,53637,49100
Private,0.5531,18,861,37314,36400
Public,0.8408,22,1052,27759,43400
Public,0.7379,22,991,20315,43400
Public,0.6943,19,889,21867,43400
Public,0.8199,21,995,20301,43400
Public,0.8186,21,941,20183,43400
Public,0.8548,24,1004,19456,43400
Public,0.8519,21,990,27591,43400
Public,0.8731,20,955,22942,43400
Public,0.8307,22,988,25931,43400
Public,0.7994,23,1027,26651,43400
Public,0.7905,20,968,19297,43400
Public,0.8793,21,951,21299,43400
Public,0.8918,20,940,19753,43400
Public,0.8634,22,948,25745,43400
Public,0.542,27,1199,31625,43400
Public,0.7983,21,957,24415,43400
Public,0.8271,22,960,25553,43400
Public,0.7774,21,942,19611,43400
Public,0.811,20,850,24227,43400
Public,0.845,23,984,19761,43400
Private,0.1224,32,1442,59600,73200
Private,0.6408,23,1062,46451,43600
Private,0.7539,22,1010,52401,26600
Private,0.5131,22,1008,32509,30700
Private,0.5635,25,1165,49327,94000
Public,0.8532,21,973,23732,45600
Public,0.9311,22,1017,23343,45600
Public,0.9038,22,1021,23709,45600
Public,0.5613,28,1258,30410,45600
Public,0.954,18,878,22596,45600
Private,0.7393,22,997,36726,32700
Private,0.8051,23,1041,38274,39500
Private,0.5838,21,927,45067,42200
Private,0.7606,23,1026,42492,43900
Private,0.7873,24,1110,52779,51600
Private,0.6875,23,1035,41591,40600
Private,0.7503,25,1121,51962,50800
Private,0.652,23,1032,40497,36000
Public,0.8341,20,980,20840,40400
Public,0.6698,21,1002,21303,36100
Private,0.7233,25,1129,49025,47100
Private,0.1432,33,1442,58481,41300
Public,0.6387,25,1121,27247,43600
Private,0.655,21,967,39573,33100
Private,0.6633,27,1182,57163,46600
Private,0.6585,22,977,29736,27800
Private,0.7484,18,913,43500,35500
Private,0.489,30,1316,56265,65100
Private,0.7523,23,1015,28822,39300
Private,0.7336,23,1040,42474,37300
Private,0.5267,22,993,39818,29400
Private,0.7351,23,1045,27266,43600
Private,0.0918,32,1425,58140,54400
Private,0.7655,25,1137,50858,57800
Private,0.5979,26,1158,56184,52900
Public,0.6915,20,930,14858,35300
Public,0.7871,24,1076,26262,44600
Private,0.2731,28,1239,59597,39200
Private,0.6706,25,1109,48219,44800
Private,0.6502,24,1079,35340,32600
Private,0.6887,21,973,33245,32400
Private,0.937,19,916,31054,36800
Public,0.7031,26,1165,25086,35800
Public,0.8041,23,1080,24827,46400
Private,0.526,18,873,29849,25000
Public,0.5787,29,1259,27944,43500
Private,0.5326,20,956,32029,30400
Private,0.6258,22,1055,28141,25900
Private,0.6499,22,1027,37599,31200
Private,0.5201,24,1072,39748,30100
Private,0.6973,22,1010,45198,33000
Public,0.5667,20,938,19965,30400
Private,0.6397,28,1237,55434,40200
Public,0.4216,20,945,21628,31300
Private,0.5322,22,1010,34658,33800
Private,0.5908,20,938,37837,28900
Private,0.5791,25,1137,28373,27000
Private,0.66,25,1121,45130,37800
Public,0.5122,21,973,18466,32800
Public,0.7304,20,932,19354,28700
Public,0.606,27,1200,23685,38700
Public,0.888,18,865,16937,28600
Public,0.7313,16,789,19403,24800
Public,0.5456,19,927,16781,31000
Public,0.7692,16,826,17501,27500
Public,0.7404,21,993,21601,32500
Public,0.5079,18,851,25265,25100
Public,0.6422,21,982,20848,33600
Private,0.8812,18,859,25085,27500
Public,0.7225,22,1030,24595,33100
Private,0.688,27,1186,47856,44000
Private,0.6809,24,1105,36828,38200
Public,0.8924,21,993,15906,31700
Public,0.8297,22,1010,17201,34500
Private,0.7023,23,1058,31596,33600
Private,0.7239,23,1050,33103,32700
Public,0.9334,22,1030,17334,30300
Private,0.6608,20,934,26676,32000
Public,0.8608,26,1183,20234,48600
Public,0.919,23,1050,18547,38200
Private,0.969,23,1064,33909,34800
Public,0.8788,24,1090,18843,35900
Private,0.521,25,1115,31324,45200
Public,0.8595,22,1009,18852,31700
Private,0.463,25,1125,19745,50100
Private,0.7987,27,1193,41450,37600
Private,0.5103,20,930,26864,35200
Private,0.3762,23,1053,29489,35400
Private,0.6657,23,1064,32446,32900
Private,0.4745,24,1105,34413,41800
Public,1,19,910,10764,26000
Private,0.473,21,986,33402,36600
Private,0.527,25,1149,37181,35500
Public,0.8649,22,1026,22485,30900
Private,0.3968,18,854,38893,29500
Private,0.9203,24,1098,32814,33700
Private,0.5464,22,1022,19898,28100
Private,0.6377,23,1039,36533,39900
Private,0.4916,15,716,17406,20300
Private,0.2335,16,760,16427,23300
Private,0.9165,24,1094,23554,30000
Private,0.6995,23,1054,31241,35400
Private,0.7259,24,1068,41481,32700
Private,0.3978,22,1030,37855,22800
Public,0.6841,22,1031,20899,33700
Public,0.6996,22,1011,17501,33100
Private,0.683,24,1096,36252,36000
Public,0.4226,19,910,12466,25800
Private,0.5816,23,1050,35632,24700
Private,0.5764,29,1288,50659,41400
Public,0.9922,19,910,13454,26600
Private,0.6027,28,1248,46530,34300
Private,0.3826,23,1050,29085,33600
Private,0.713,22,1006,28119,34600
Public,0.7757,23,1069,19192,33300
Public,0.7249,27,1199,24746,39000
Public,0.7668,23,1050,16227,32000
Public,0.9316,23,1071,19900,34400
Private,0.7843,18,878,23217,30500
Private,0.772,23,1049,30820,36500
Private,0.7225,21,961,32783,34900
Private,0.7412,26,1174,40415,37700
Private,0.1274,33,1475,59890,54400
Private,0.4894,24,1087,39811,37200
Public,0.8049,21,965,19511,34500
Private,0.5861,25,1181,45800,41000
Private,0.5747,27,1215,51086,43700
Private,0.4685,23,1035,37394,37200
Public,0.9258,20,960,17782,37800
Private,0.423,23,1078,32489,39900
Private,0.5516,20,930,24499,36700
Private,0.9011,27,1216,47437,38600
Private,0.7362,20,957,30172,37500
Public,0.6818,21,987,18487,35900
Private,0.3759,23,1035,32001,36700
Private,0.7318,24,1075,36095,41700
Public,0.9509,19,894,18879,38500
Public,0.5841,25,1136,22215,45200
Private,0.5382,20,953,32861,33300
Private,0.4589,15,780,25894,27800
Private,0.9307,21,967,34487,41600
Public,0.7682,21,974,21142,35800
Public,0.4785,18,892,15272,41100
Private,0.4066,26,1175,37031,44500
Private,0.9489,22,1010,28493,35800
Private,0.8468,24,1069,35000,38000
Private,0.5924,21,982,34650,35700
Public,0.7178,21,993,15704,35600
Public,0.5969,24,1100,18593,39400
Private,0.2578,20,924,31642,40800
Private,0.6561,18,882,33227,35700
Public,0.6217,20,937,11601,36500
Private,0.9858,16,775,21418,25300
Public,0.4232,18,845,16782,30900
Private,0.1674,33,1454,52242,56500
Private,0.7853,24,1117,43046,41400
Private,0.7724,26,1121,37271,43200
Public,0.6499,21,999,19173,38400
Private,0.9262,22,995,33631,34700
Private,0.5823,23,1050,35160,40800
Private,0.507,29,1302,57947,50400
Private,0.5217,26,1168,46789,41700
Public,0.5687,22,998,21909,36800
Public,0.7508,23,1045,19721,40700
Private,0.5392,20,949,27907,37900
Public,0.522,18,865,17254,33000
Public,0.5682,21,984,17709,37900
Public,0.881,19,895,19721,36400
Public,0.6947,26,1182,20819,49000
Public,0.5998,23,1077,21420,42900
Public,0.4019,28,1262,25176,48600
Public,0.5857,28,1262,22381,46800
Public,0.9981,20,923,15272,34300
Public,0.8203,23,1064,19366,39200
Private,0.4739,27,1206,48189,45800
Private,0.5087,23,1041,35480,38200
Public,0.8401,21,1008,14292,39100
Public,0.7327,23,1050,18936,39700
Public,0.4503,17,832,22311,25900
Public,0.663,25,1116,20900,43900
Private,0.2992,21,997,30696,40700
Public,0.8603,20,953,16345,41900
Private,0.6393,29,1270,46274,49600
Private,0.9862,20,940,21543,37400
Public,0.7403,22,994,17553,37100
Private,0.4942,29,1277,17174,47400
Private,0.3604,24,1081,14544,34100
Public,0.5709,23,1066,18042,34000
Public,0.9674,24,1087,16020,37300
Public,0.8174,24,1109,19048,44300
Private,0.7517,25,1134,37990,41700
Public,0.9205,20,954,20799,31200
Private,0.7079,25,1122,44636,37900
Public,0.9688,19,948,20404,28000
Public,0.9934,20,930,19178,29700
Private,0.1716,32,1391,59200,49100
Private,0.6349,24,1065,47341,43800
Private,0.7511,26,1173,48894,41600
Private,0.6831,17,842,33200,35300
Private,0.994,18,883,33229,33400
Public,0.8257,19,933,22937,40000
Public,0.7755,27,1190,27788,39400
Private,0.6329,20,941,36240,38600
Private,0.5729,19,900,33668,39400
Private,0.5493,23,1033,41180,37500
Public,0.3321,30,1358,25938,48800
Private,0.8514,22,1067,26825,39500
Public,0.5902,26,1161,24696,39800
Private,0.4106,22,963,31688,50900
Private,0.6572,22,1004,40866,32900
Private,0.6505,22,999,38009,34900
Private,0.7411,17,868,38620,32400
Public,0.6203,26,1155,22332,53100
Private,0.5486,25,1113,49139,42500
Private,0.3605,21,990,32358,38000
Private,0.693,24,1099,46049,28600
Public,0.6356,25,1149,21980,48800
Private,0.2165,23,1030,31344,31400
Public,0.8136,21,1002,23707,37500
Private,0.6369,22,1002,41818,37000
Private,0.8835,22,959,39432,35700
Public,0.8096,24,1110,21862,44700
Private,0.8252,22,1030,36832,48200
Public,0.6499,18,879,18837,30300
Public,0.7679,21,1016,20531,39200
Public,0.7831,20,980,19987,38900
Private,0.637,24,1082,45842,39900
Private,0.8343,25,1094,44330,33400
Public,0.5572,15,837,13460,29000
Private,0.3116,30,1313,55980,51500
Private,0.7281,24,1086,48559,38700
Private,0.8456,23,1016,41369,38100
Private,0.9987,22,1015,30068,28300
Private,0.8431,24,1084,46966,36500
Public,0.7449,20,949,18365,35200
Public,0.6913,24,1102,25291,38600
Public,0.2999,31,1362,25255,53600
Public,0.4732,25,1141,24643,53300
Public,0.9459,17,811,20075,29600
Private,0.5848,15,750,26885,27200
Private,0.9311,21,1021,41010,35900
Private,0.1843,32,1392,56616,61800
Public,0.8216,21,986,21401,40300
Public,0.7967,21,970,19831,37700
Public,0.9709,24,1081,21433,28900
Private,0.6651,27,1204,46475,47900
Private,0.972,24,1079,34608,35700
Private,0.7676,25,1112,45299,42600
Private,0.8522,28,1233,53785,41400
Private,0.876,22,1057,40458,40200
Private,0.7214,26,1145,45125,40500
Private,0.7323,27,1175,50610,49500
Private,0.9286,24,1072,34747,40900
Public,0.8208,22,1030,26292,43700
Public,0.5523,28,1234,24606,48300
Public,0.8371,25,1114,22009,39000
Private,0.5696,30,1327,54865,37900
Private,0.4321,22,989,33057,43500
Private,0.9091,23,1026,22543,23600
Private,0.4948,21,936,38226,35700
Public,0.4267,19,905,14940,25700
Private,0.6905,22,991,32147,37600
Public,0.457,21,980,17146,27800
Private,0.5734,20,945,32812,32500
Public,0.6649,21,965,14710,29400
Public,0.7446,19,879,19910,28900
Public,0.7868,22,1022,16361,31100
Private,0.3639,21,971,27759,32300
Public,0.8102,22,1007,14846,36200
Public,0.4478,20,942,13756,27000
Public,0.7122,21,984,18406,30800
Public,0.5131,21,990,14465,38700
Private,0.7696,23,1021,38796,35100
Public,0.851,24,1062,16898,38700
Private,0.6892,22,1023,34213,40000
Private,0.7887,20,950,30496,34500
Private,0.6769,27,1227,48236,33300
Private,0.8423,22,1027,37563,45400
Private,0.8114,24,1090,37963,38300
Private,0.7018,24,1105,44910,40700
Private,0.6992,23,1049,36660,38700
Private,0.7656,23,1050,35645,40300
Private,0.6621,22,1007,32706,37900
Private,0.7146,23,1061,23879,27500
Private,0.7561,20,950,33656,37500
Private,0.5745,27,1217,46649,52300
Private,0.6839,28,1244,43747,61000
Private,0.5397,20,957,33166,37900
Private,0.5907,24,1105,39123,29300
Private,0.7515,25,1130,40966,39900
Private,0.8194,25,1125,40204,39500
Private,0.6,20,950,33274,36300
Public,0.9899,21,970,13105,30800
Private,0.706,24,1090,32956,37300
Public,0.8468,22,1030,16107,38200
Public,0.7646,24,1110,18066,39900
Public,0.8476,23,1070,16878,36100
Public,0.72,25,1130,17896,40400
Private,0.6356,24,1097,34192,35000
Public,0.8134,22,1030,16935,37500
Public,0.7547,21,990,15218,33600
Public,0.8927,22,1030,18192,39800
Public,0.8927,22,1010,16953,30900
Public,0.6792,28,1268,23718,48200
Public,0.8608,22,1030,21203,38100
Public,0.9647,23,1050,16824,40600
Public,0.8663,22,1030,16682,36000
Public,0.8285,23,1070,16427,35800
Public,0.9569,25,1123,17652,42000
Private,0.0569,33,1466,58408,76500
Public,0.6042,27,1211,23109,47500
Public,0.6251,21,966,20386,40500
Public,0.7568,21,1014,22800,48300
Public,0.8523,20,963,22185,48300
Private,0.3498,21,971,33979,29900
Public,0.444,21,976,18479,37100
Public,0.6579,22,1024,18097,37600
Public,0.4207,22,1015,13099,49700
Public,0.594,24,1020,12946,49700
Public,0.4107,21,1017,13028,49700
Public,0.6443,20,954,22570,35800
Private For-Profit,0.6635,28,1225,37848,72800
Private For-Profit,0.7997,25,1104,37379,37300
